# Sorceress / Stormweaver lv100
# main skill: Firestorm
# keys: 806
ChaosLifeRecoup = 0
ChaosManaEffectiveLife = 4406
ChaosMaxBase = 0
ChaosMaximumHitTaken = 15736
ChaosMinBase = 0
ChaosMindOverMatter = 0
ChaosMoMHitPool = 4406
ChaosPoisonChance = 0
ChaosResist = 72
ChaosResistOver75 = 0
ChaosResistOverCap = 0
ChaosResistOverTime = 72
ChaosResistTakenHitMulti = 0.28
ChaosResistTotal = 72
ChaosSpellTakenHitMult = 1
ChaosStoredCombinedAvg = 340.13
ChaosStoredCritAvg = 526.75
ChaosStoredCritMax = 630
ChaosStoredCritMin = 423.5
ChaosStoredHitAvg = 150.5
ChaosStoredHitMax = 180
ChaosStoredHitMin = 121
ChaosSummedMaxBase = 58
ChaosSummedMinBase = 39
ChaosTakenDamage = 391.6163
ChaosTakenDotMult = 0.28
ChaosTakenHit = 109.652564
ChaosTakenHitMult = 0.28
ChaosTakenReflect = 1
ChaosTotalHitPool = 4406
ChaosTotalPool = 4406
ChaostakenFlat = 0
ChillAvoidChance = 0
ChillChanceOnCrit = 0
ChillChanceOnHit = 0
ColdAegis = 0
ColdAegisDisplay = 0
ColdAfterReductionTakenHitMulti = 1
ColdAttackTakenHitMult = 1
ColdBaseTakenHitMult = 0.28
ColdCritAverage = 647.5
ColdDamageReduction = 0
ColdDamageReductionMax = 90
ColdDotEHP = 17624
ColdEffectiveAppliedArmour = 0
ColdEnemyDamage = 979.04075
ColdEnemyDamageMult = 1
ColdEnemyOverwhelm = 0
ColdEnemyPen = 3
ColdEnergyShieldBypass = 0
ColdGuardAbsorbRate = 0
ColdHitAverage = 185
ColdLifeRecoup = 0
ColdManaEffectiveLife = 4406
ColdMaxBase = 0
ColdMaximumHitTaken = 15736
ColdMinBase = 0
ColdMindOverMatter = 0
ColdMoMHitPool = 4406
ColdResist = 75
ColdResistOver75 = 0
ColdResistOverCap = 4
ColdResistOverTime = 75
ColdResistTakenHitMulti = 0.28
ColdResistTotal = 79
ColdSpellTakenHitMult = 1
ColdStoredCombinedAvg = 418.1
ColdStoredCritAvg = 647.5
ColdStoredCritMax = 777
ColdStoredCritMin = 518
ColdStoredHitAvg = 185
ColdStoredHitMax = 222
ColdStoredHitMin = 148
ColdSummedMaxBase = 42
ColdSummedMinBase = 28
ColdTakenDamage = 979.04075
ColdTakenDotMult = 0.25
ColdTakenHit = 274.13141
ColdTakenHitMult = 0.28
ColdTakenReflect = 1
ColdTotalHitPool = 4406
ColdTotalPool = 4406
ColdtakenFlat = 0
CombinedAvg = 118706.5
CombinedDPS = 124765.54836997
ConfiguredDamageChance = 100
ConfiguredEvadeChance = 3
ConfiguredNotHitChance = 3
CrabBarriers = 0
CrabBarriersMax = 0
CritChance = 50.4
CritEffect = 2.26
CritExtraDamageReduction = 0
CritMultiplier = 3.5
CullMultiplier = 1
CullPercent = 0
CullingDPS = 0
CurrentChill = 46
CurrentShock = 0
CurseAvoidChance = 0
CurseEffectOnSelf = 50
DamageReductionMax = 90
DamageTakenOnBlock = 0
Darkness = 0
DebuffExpirationModifier = 100
DebuffExpirationRate = 0
DeflectChance = 0
DeflectEffect = 40
DeflectionRating = 0
Devotion = 0
Dex = 77
DexRequirementsOnGloves = 56
DoubleDamageChance = 0
DoubleDamageChanceOnCrit = 0
DoubleDamageEffect = 0
Duration = 4.191
DurationMod = 0.696
EHPSurvivalTime = 6.9323259567755
ESCost = 0
ESHasCost = false
ESPerSecondCost = 0
ESPerSecondHasCost = false
ESPercentPerSecondCost = 0
ESPercentPerSecondHasCost = false
EffectiveAttackDodgeChance = 0
EffectiveAverageBlockChance = 0
EffectiveBlockChance = 0
EffectiveLootRarityMod = 2.04
EffectiveMovementSpeedMod = 1.31
EffectiveProjectileBlockChance = 0
EffectiveSpellBlockChance = 0
EffectiveSpellDodgeChance = 0
EffectiveSpellProjectileBlockChance = 0
EffectiveSpellSuppressionChance = 0
ElectrocuteBuildupAvg = 0
ElementalEnergyShieldRecoup = 0
EmptyCharms = 3
EnduranceCharges = 0
EnduranceChargesDuration = 15
EnduranceChargesMax = 3
EnduranceChargesMin = 0
EnemyAilmentThreshold = 29684
EnemyCritChance = 4.85
EnemyCritEffect = 1.01455
EnemyCurseLimit = 1
EnemyEnergyShieldRegen = 0
EnemyLifeRegen = 0
EnemyManaRegen = 0
EnemyMarkLimit = 1
EnemyStunDuration = 0.35
EnemyStunThresholdMod = 1
EnergyShield = 0
EnergyShieldDegen = 0
EnergyShieldLeech = 0
EnergyShieldLeechDuration = 0
EnergyShieldLeechGainRate = 0
EnergyShieldLeechInstanceRate = 0
EnergyShieldLeechInstances = 0
EnergyShieldLeechInstant = 0
EnergyShieldLeechInstantProportion = 0.14
EnergyShieldLeechInstantRate = 0
EnergyShieldLeechPerHit = 0
EnergyShieldLeechRate = 0
EnergyShieldOnAllArmourItems = 609
EnergyShieldOnBlock = 0
EnergyShieldOnBody Armour = 223
EnergyShieldOnBoots = 352
EnergyShieldOnHelmet = 34
EnergyShieldOnHit = 0
EnergyShieldOnHitRate = 0
EnergyShieldOnKill = 0
EnergyShieldOnSpellBlock = 0
EnergyShieldOnSuppress = 0
EnergyShieldRecharge = 0
EnergyShieldRechargeAppliesToEnergyShield = true
EnergyShieldRechargeDelay = 4
EnergyShieldRecoup = 0
EnergyShieldRecovery = 0
EnergyShieldRecoveryCap = 0
EnergyShieldRecoveryRateMod = 1
EnergyShieldRegen = 0
EnergyShieldRegenInc = 0
EnergyShieldRegenPercent = 0
EnergyShieldRegenRecovery = 0
EvadeChance = 3
Evasion = 281
EvasionOnAllArmourItems = 237
EvasionOnGloves = 158
EvasionOnHelmet = 79
ExertedAttackUptimeRatio = 0
ExposureEffectOnSelf = 100
ExtraPoints = 0
FireAegis = 0
FireAegisDisplay = 0
FireAfterReductionTakenHitMulti = 1
FireAttackTakenHitMult = 1
FireBaseTakenHitMult = 0.28
FireCritAverage = 21231
FireDamageReduction = 0
FireDamageReductionMax = 90
FireDotEHP = 17624
FireEffectiveAppliedArmour = 0
FireEnemyDamage = 979.04075
FireEnemyDamageMult = 1
FireEnemyOverwhelm = 0
FireEnemyPen = 3
FireEnergyShieldBypass = 0
FireGuardAbsorbRate = 0
FireHitAverage = 6066
FireLifeRecoup = 0
FireManaEffectiveLife = 4406
FireMaxBase = 832
FireMaximumHitTaken = 15736
FireMinBase = 555
FireMindOverMatter = 0
FireMoMHitPool = 4406
FireResist = 75
FireResistOver75 = 0
FireResistOverCap = 7
FireResistOverTime = 75
FireResistTakenHitMulti = 0.28
FireResistTotal = 82
FireSpellTakenHitMult = 1
FireStoredCombinedAvg = 13709.16
FireStoredCritAvg = 21231
FireStoredCritMax = 25469.5
FireStoredCritMin = 16992.5
FireStoredHitAvg = 6066
FireStoredHitMax = 7277
FireStoredHitMin = 4855
FireSummedMaxBase = 1373
FireSummedMinBase = 916
FireTakenDamage = 979.04075
FireTakenDotMult = 0.25
FireTakenHit = 274.13141
FireTakenHitMult = 0.28
FireTakenReflect = 1
FireTotalHitPool = 4406
FireTotalPool = 4406
FiretakenFlat = 0
FistOfWarCooldown = 0
FistOfWarDamageEffect = 1
FreezeAvoidChance = 0
FreezeBuildupAvg = 0.041032645021437
FreezeChanceOnCrit = 0
FreezeChanceOnHit = 0
FreezeColdMax = 185
FreezeColdMin = 148
FrenzyCharges = 0
FrenzyChargesDuration = 15
FrenzyChargesMax = 3
FrenzyChargesMin = 0
FrostShieldDamageMitigation = 0
FrostShieldLife = 0
FullDPS = 0
FullDotDPS = 0
FullLifePercentage = 100
Gear:Armour = 0
Gear:EnergyShield = 609
Gear:Evasion = 237
Gear:Ward = 0
GemHasLevel = true
GemLevel = 32
GhostShrouds = 0
GlobalGemAttributeRequirements = 0
GlobalItemAttributeRequirements = 1
GlobalWarcryUptimeRatio = 0
GlobalWeaponAttributeRequirements = 1
HeavyStunBuildupAvg = 0.35358281761511
HeavyStunChaosMax = 150.5
HeavyStunChaosMin = 121
HeavyStunColdMax = 185
HeavyStunColdMin = 148
HeavyStunFireMax = 6066
HeavyStunFireMin = 4855
HeavyStunLightningMax = 4103.5
HeavyStunLightningMin = 3284
HeavyStunPhysicalMax = 0
HeavyStunPhysicalMin = 0
HitChance = 100
HitSpeed = 5
HitTime = 0.2
IgniteAvoidChance = 0
IgniteChance = 16.52151486644
IgniteChanceOnCrit = 18.3099851772
IgniteChanceOnHit = 5.2314243363428
IgniteChancePerHit = 11.823019000135
IgniteDPS = 6059.0483699687
IgniteDamage = 29083.43217585
IgniteDuration = 4.8
IgniteEffMult = 0.96
IgniteFireMax = 7277
IgniteFireMin = 4855
IgniteMagnitudeEffect = 1.4
IgniteRollAverage = 73.941534852572
IgniteStackPotential = 2.8375245600323
IgniteStackPotentialPercent = 283.75245600323
IgniteStacksMax = 1
ImpaleAvoidChance = 0
ImpaleChance = 0
ImpaleChanceOnCrit = 0
InspirationCharges = 5
InspirationChargesMax = 5
Int = 162
IntRequirementsOnBody Armour = 65
IntRequirementsOnBoots = 108
IntRequirementsOnWeapon 1 = 137
IntRequirementsOnWeapon 2 = 80
InterruptStunAvoidChance = 0
KnockbackChance = 0
KnockbackChanceOnCrit = 0
KnockbackChanceOnHit = 0
Life = 1595
LifeCancellableReservation = 100
LifeCost = 407.14285714286
LifeDegen = 0
LifeFlask1MaxCharges = 124.5
LifeFlaskRecovery = 1150
LifeHasCost = true
LifeHasOverride = false
LifeHitPool = 1595
LifeLeech = 137.17
LifeLeechDuration = 4.3
LifeLeechGainRate = 430.65
LifeLeechInstanceRate = 31.9
LifeLeechInstances = 21.5
LifeLeechInstant = 22.33
LifeLeechInstantProportion = 0.14
LifeLeechInstantRate = 111.65
LifeLeechPerHit = 159.5
LifeLeechRate = 430.65
LifeOnBlock = 0
LifeOnHit = 0
LifeOnHitRate = 0
LifeOnKill = 0
LifeOnSuppress = 0
LifePerSecondCost = 159.94897959184
LifePerSecondHasCost = true
LifePercentCost = 0
LifePercentHasCost = false
LifePercentPerSecondCost = 0
LifePercentPerSecondHasCost = false
LifeRecoup = 0
LifeRecoverable = 1595
LifeRecovery = 0
LifeRecoveryRateMod = 1
LifeRegen = 0
LifeRegenInc = 0
LifeRegenPercent = 0
LifeRegenRecovery = 0
LifeReserved = 0
LifeReservedPercent = 0
LifeUncancellableReservation = 0
LifeUnreserved = 1595
LifeUnreservedPercent = 100
LightRadiusMod = 1
LightningAegis = 0
LightningAegisDisplay = 0
LightningAfterReductionTakenHitMulti = 1
LightningAttackTakenHitMult = 1
LightningBaseTakenHitMult = 0.28
LightningCritAverage = 14362.25
LightningDamageReduction = 0
LightningDamageReductionMax = 90
LightningDotEHP = 17624
LightningEffectiveAppliedArmour = 0
LightningEnemyDamage = 979.04075
LightningEnemyDamageMult = 1
LightningEnemyOverwhelm = 0
LightningEnemyPen = 3
LightningEnergyShieldBypass = 0
LightningGuardAbsorbRate = 0
LightningHitAverage = 4103.5
LightningLifeRecoup = 0
LightningManaEffectiveLife = 4406
LightningMaxBase = 0
LightningMaximumHitTaken = 15736
LightningMinBase = 0
LightningMindOverMatter = 0
LightningMoMHitPool = 4406
LightningResist = 75
LightningResistOver75 = 0
LightningResistOverCap = 1
LightningResistOverTime = 75
LightningResistTakenHitMulti = 0.28
LightningResistTotal = 76
LightningSpellTakenHitMult = 1
LightningStoredCombinedAvg = 9273.91
LightningStoredCritAvg = 14362.25
LightningStoredCritMax = 17230.5
LightningStoredCritMin = 11494
LightningStoredHitAvg = 4103.5
LightningStoredHitMax = 4923
LightningStoredHitMin = 3284
LightningSummedMaxBase = 973
LightningSummedMinBase = 649
LightningTakenDamage = 979.04075
LightningTakenDotMult = 0.25
LightningTakenHit = 274.13141
LightningTakenHitMult = 0.28
LightningTakenReflect = 1
LightningTotalHitPool = 4406
LightningTotalPool = 4406
LightningtakenFlat = 0
LootQuantityNormalEnemies = 0
LootRarityMagicEnemies = 0
LowLifePercentage = 35
LowestAttribute = 62
LowestOfArmourAndEvasion = 0
LowestOfArmourAndEvasionOnBody Armour = 0
LowestOfArmourAndEvasionOnBoots = 0
LowestOfArmourAndEvasionOnGloves = 0
LowestOfArmourAndEvasionOnHelmet = 0
LowestOfMaximumLifeAndMaximumMana = 1595
Mana = 2811
ManaCancellableReservation = 100
ManaCost = 0
ManaCostRaw = 0
ManaDegen = 0
ManaFlask2MaxCharges = 75
ManaHasCost = true
ManaHasOverride = false
ManaLeech = 0
ManaLeechDuration = 0
ManaLeechGainRate = 0
ManaLeechInstanceRate = 56.22
ManaLeechInstances = 0
ManaLeechInstant = 0
ManaLeechInstantProportion = 0.14
ManaLeechInstantRate = 0
ManaLeechPerHit = 0
ManaLeechRate = 0
ManaOnBlock = 0
ManaOnHit = 0
ManaOnHitRate = 0
ManaOnKill = 0
ManaPerSecondCost = 0
ManaPerSecondHasCost = false
ManaPercentCost = 0
ManaPercentHasCost = false
ManaPercentPerSecondCost = 0
ManaPercentPerSecondHasCost = false
ManaRecoup = 0
ManaRecovery = 0
ManaRecoveryRateMod = 0.5
ManaRegen = 90
ManaRegenInc = 60
ManaRegenPercent = 3.2
ManaRegenRecovery = 90
ManaReserved = 0
ManaReservedPercent = 0
ManaUncancellableReservation = 0
ManaUnreserved = 2811
ManaUnreservedPercent = 100
MaxEnergyShieldLeechInstance = 0
MaxEnergyShieldLeechRate = 0
MaxLifeLeechInstance = 159.5
MaxLifeLeechRate = 319
MaxLifeLeechRatePercent = 20
MaxManaLeechInstance = 281.1
MaxManaLeechRate = 562.2
MaxOffensiveWarcryEffect = 1
MaximumChill = 50
MaximumEnergyShield = 0
MaximumShock = 100
MeleeEvadeChance = 3
MeleeEvasion = 281
MeleeNotHitChance = 3
MinimumBypass = 0
MissingChaosResist = 3
MissingColdResist = 0
MissingFireResist = 0
MissingLightningResist = 0
MissingTotemChaosResist = 55
MissingTotemColdResist = 35
MissingTotemFireResist = 35
MissingTotemLightningResist = 35
MovementSpeedMod = 1.31
MovementSpeedWhileUsingSkill = 0.393
MovementSpeedWhileUsingSkillPercent = 30
NumberOfDamagingHits = 2.3054935467676
NumberOfMitigatedDamagingHits = 2.3054935467676
OffensiveWarcryEffect = 1
OnlySharedMindOverMatter = true
PassivePointsToWeaponSetPoints = 0
PhysicalAegis = 0
PhysicalAfterReductionTakenHitMulti = 1
PhysicalAttackTakenHitMult = 1
PhysicalBaseTakenHitMult = 1
PhysicalCritAverage = 0
PhysicalDamageReduction = 0
PhysicalDamageReductionMax = 90
PhysicalDotEHP = 4406
PhysicalEffectiveAppliedArmour = 0
PhysicalEnemyDamage = 979.04075
PhysicalEnemyDamageMult = 1
PhysicalEnemyOverwhelm = 0
PhysicalEnemyPen = 0
PhysicalEnergyShieldBypass = 0
PhysicalGuardAbsorbRate = 0
PhysicalHitAverage = 0
PhysicalLifeRecoup = 0
PhysicalManaEffectiveLife = 4406
PhysicalMaxBase = 0
PhysicalMaximumHitTaken = 4406
PhysicalMinBase = 0
PhysicalMindOverMatter = 0
PhysicalMoMHitPool = 4406
PhysicalResist = 0
PhysicalResistTakenHitMulti = 1
PhysicalSpellTakenHitMult = 1
PhysicalStoredCombinedAvg = 0
PhysicalStoredCritAvg = 0
PhysicalStoredCritMax = 0
PhysicalStoredCritMin = 0
PhysicalStoredHitAvg = 0
PhysicalStoredHitMax = 0
PhysicalStoredHitMin = 0
PhysicalSummedMaxBase = 0
PhysicalSummedMinBase = 0
PhysicalTakenDamage = 979.04075
PhysicalTakenDotMult = 1
PhysicalTakenHit = 979.04075
PhysicalTakenHitMult = 1
PhysicalTakenReflect = 1
PhysicalTotalHitPool = 4406
PhysicalTotalPool = 4406
PhysicaltakenFlat = 0
PinBuildupAvg = 0
PoisonAvoidChance = 0
PoisonChanceOnCrit = 0
PoisonChanceOnHit = 0
PowerCharges = 0
PowerChargesDuration = 15
PowerChargesMax = 4
PowerChargesMin = 0
PreBifurcateCritChance = 50.4
PreEffectiveCritChance = 50.4
PreEffectiveCritMultiplier = 3.5
PresenceRadius = 40
PresenceRadiusMetres = 4
ProjectileBlockChance = 0
ProjectileEvadeChance = 3
ProjectileEvasion = 281
ProjectileNotHitChance = 3
RadianceSentinelAllyDamageMitigation = 0
RageCost = 0
RageDegen = 0
RageHasCost = false
RageRecovery = 0
RageRegen = 0
RageRegenInc = 0
RageRegenPercent = 0
RageRegenRecovery = 0
RallyingHitEffect = 1
RemovableEnduranceCharges = 0
RemovableFrenzyCharges = 0
RemovablePowerCharges = 0
RemovableTotalCharges = 0
RepeatCount = 4
Repeats = 4
ReqDex = 56
ReqDexString = 56
ReqInt = 137
ReqIntString = 137
ReqStr = 55
ReqStrString = 55
ReservationDPS = 0
ReservationDpsMultiplier = 1
ReservedDarkness = 0
SappedChance = 0
ScaledDamageEffect = 1
ScorchChance = 0
SecondMinimalMaximumHitTaken = 15736
SelfBleedDuration = 100
SelfBleedEffect = 100
SelfBlindDuration = 100
SelfChillDuration = 100
SelfChillEffect = 100
SelfFreezeDuration = 100
SelfFreezeEffect = 100
SelfIgniteDuration = 100
SelfIgniteEffect = 100
SelfPoisonDuration = 100
SelfPoisonEffect = 100
SelfShockDuration = 100
SelfShockEffect = 100
SelfStunChance = 100
ShieldBlockChance = 0
ShockAvoidChance = 0
ShockChance = 9.0602139199569
ShockChanceOnCrit = 14.031304743296
ShockChanceOnHit = 4.0089442123703
ShockDuration = 9.6
ShockEffectMod = 1.55
ShockLightningMax = 4923
ShockLightningMin = 3284
ShowBlockEffect = true
ShowBurst = true
SilenceAvoidChance = 0
SiphoningCharges = 0
SiphoningChargesMax = 0
SoulCost = 0
SoulHasCost = false
SoulLinkMitigation = 0
Spec:ArmourInc = 0
Spec:EnergyShieldInc = 0
Spec:EvasionInc = 0
Spec:LifeInc = 5
Spec:ManaInc = 8
SpectreAllyDamageMitigation = 0
Speed = 1.5714285714286
SpellBlockChance = 0
SpellBlockChanceMax = 50
SpellBlockChanceOverCap = 0
SpellDodgeChance = 0
SpellDodgeChanceOverCap = 0
SpellEvadeChance = 3
SpellEvasion = 281
SpellNotHitChance = 3
SpellProjectileBlockChance = 0
SpellProjectileEvadeChance = 3
SpellProjectileEvasion = 281
SpellProjectileNotHitChance = 3
SpellSuppressionChance = 0
SpellSuppressionChanceOverCap = 0
SpellSuppressionEffect = 50
SpellTakenHitMult = 1
Spirit = 271
SpiritCancellableReservation = 100
SpiritCharges = 0
SpiritChargesMax = 0
SpiritHasOverride = false
SpiritReserved = 261
SpiritReservedPercent = 96.309963099631
SpiritUncancellableReservation = 0
SpiritUnreserved = 10
SpiritUnreservedPercent = 3.690036900369
StoredUses = 2
Str = 62
StrRequirementsOnWeapon 2 = 32
StunAvoidChance = 0
StunDuration = 0.528
StunThreshold = 2376.55
SurroundedRadius = 30
SurroundedRadiusMetres = 3
TheoreticalMaxOffensiveWarcryEffect = 1
TheoreticalOffensiveWarcryEffect = 1
Time = 0.63636363636364
TotalAttr = 301
TotalCharges = 0
TotalDPS = 118706.5
TotalDot = 0
TotalDotCalcSection = 0
TotalDotDPS = 6059.0483699687
TotalDotInstance = 0
TotalEHP = 10091.882061418
TotalMax = 12602
TotalMin = 8408
TotalNumberOfHits = 2.3767974708945
TotemAllyDamageMitigation = 0
TotemChaosResist = 20
TotemChaosResistOverCap = 0
TotemChaosResistTotal = 20
TotemColdResist = 40
TotemColdResistOverCap = 0
TotemColdResistTotal = 40
TotemDuration = 0
TotemDurationMod = 1
TotemFireResist = 40
TotemFireResistOverCap = 0
TotemFireResistTotal = 40
TotemLightningResist = 40
TotemLightningResistOverCap = 0
TotemLightningResistTotal = 40
Tribute = 0
TripleDamageChance = 0
TripleDamageChanceOnCrit = 0
TripleDamageEffect = 0
UnreservedDarkness = 0
UntypedNotHitChance = 0
VaalArcticArmourLife = 0
VaalArcticArmourMitigation = -0
VaalRejuvenationTotemAllyDamageMitigation = 0
WarcryPower = 20
Ward = 0
WardRechargeDelay = 2
WeaponSetPassivePoints = 0
WeaponSwapSpeed = 0
WeaponSwapSpeedMod = 1
WithBleedDPS = 118706.5
WithIgniteDPS = 124765.54836997
WithPoisonDPS = 118706.5
WitherEffectOnSelf = 100
allMult = 1
anyRecoup = 0
chillMinimumThreshold = 296.84
ehpSectionAnySpecificTypes = false
enemyBlockChance = 0
enemySkillTime = 2.9166666666667
noSplitEvade = true
preventedLifeLoss = 0
preventedLifeLossBelowHalf = 0
preventedLifeLossTotal = 0
sharedAegis = 0
sharedElementalAegis = 0
sharedGuardAbsorbRate = 0
sharedManaEffectiveLife = 4406
sharedMindOverMatter = 100
sharedMoMHitPool = 4406
showDebuffExpirationModifier = false
specificTypeAvoidance = false
totalEnemyDamage = 4307.7793
totalEnemyDamageIn = 4246
totalTakenDamage = 4307.7793
totalTakenHit = 1911.087544
